State,State Code,Deaths,Population,Crude Rate
Alabama,1,130,83992436,0.2
Arizona,4,876,109148430,0.8
Arkansas,5,160,51117937,0.3
California,6,712,657416771,0.1
Colorado,8,42,87509259,0
Connecticut,9,14,63429895,0.0 (Unreliable)
Delaware,10,15,15640370,0.1 (Unreliable)
District of Columbia,11,15,10828119,0.1 (Unreliable)
Florida,12,285,328334891,0.1
Georgia,13,166,167063038,0.1
Hawaii,15,18,23815715,0.1 (Unreliable)
Idaho,16,23,26805064,0.1
Illinois,17,269,228380710,0.1
Indiana,18,97,114662022,0.1
Iowa,19,46,54246275,0.1
Kansas,20,114,50386699,0.2
Kentucky,21,93,76515344,0.1
Louisiana,22,171,81497430,0.2
Maine,23,10,23679343,0.0 (Unreliable)
Maryland,24,145,102114446,0.1
Massachusetts,25,28,117417917,0
Michigan,26,81,179183694,0
Minnesota,27,57,93861342,0.1
Mississippi,28,148,52679316,0.3
Missouri,29,330,105633794,0.3
Montana,30,14,17390072,0.1 (Unreliable)
Nebraska,31,36,32353793,0.1
Nevada,32,209,45309193,0.5
New Hampshire,33,10,23376257,0.0 (Unreliable)
New Jersey,34,105,156723850,0.1
New Mexico,35,55,35577733,0.2
New York,36,272,347701337,0.1
North Carolina,37,158,163900963,0.1
Ohio,39,149,206876274,0.1
Oklahoma,40,201,65953258,0.3
Oregon,41,39,67107832,0.1
Pennsylvania,42,183,226130679,0.1
Rhode Island,44,10,19032220,0.1 (Unreliable)
South Carolina,45,136,80182715,0.2
South Dakota,46,22,14407588,0.2
Tennessee,47,171,110926076,0.2
Texas,48,858,433499543,0.2
Utah,49,19,47096459,0.0 (Unreliable)
Virginia,51,145,139830305,0.1
Washington,53,70,117289596,0.1
West Virginia,54,11,32964738,0.0 (Unreliable)
Wisconsin,55,94,100757056,0.1
Alabama,1,60,81741950,0.1
Arizona,4,303,72594149,0.4
Arkansas,5,148,47914499,0.3
California,6,381,570257516,0.1
District of Columbia,11,25,12314628,0.2
Florida,12,109,250064780,0
Georgia,13,166,129189023,0.1
Idaho,16,14,20968906,0.1 (Unreliable)
Illinois,17,158,232685406,0.1
Indiana,18,40,112334443,0
Iowa,19,80,56909451,0.1
Kansas,20,123,49761329,0.2
Kentucky,21,46,75066108,0.1
Louisiana,22,54,86617503,0.1
Maryland,24,17,93693056,0.0 (Unreliable)
Michigan,26,47,187269307,0
Mississippi,28,27,52415817,0.1
Missouri,29,370,102810780,0.4
Nebraska,31,11,32113742,0.0 (Unreliable)
Nevada,32,42,23933339,0.2
New Jersey,34,12,155098631,0.0 (Unreliable)
New York,36,42,361240151,0
North Carolina,37,48,132859893,0
Ohio,39,36,218651095,0
Oklahoma,40,81,64453985,0.1
Oregon,41,26,57501394,0
Pennsylvania,42,107,239368191,0
South Carolina,45,107,69409553,0.2
Tennessee,47,62,98782310,0.1
Texas,48,269,340322790,0.1
Utah,49,18,35128234,0.1 (Unreliable)
Virginia,51,50,121683012,0
Washington,53,18,96320478,0.0 (Unreliable)
Wisconsin,55,58,98378433,0.1